review_title,review_details,customer_name,review_timestamp,row_id,sentiment,categories,keywords,summary
Macas has gone cracks,"Macas has gone cracksI have been eating at McDonald's for over sixty years and all I have seen in the last twenty years is how it has deteriorated into a place I no longer visit. Once the staff were young and friendly very polite but now the staff are young arrogant disrespectful and very poorly trained. What do I put this down? Their training, technology, and a very poor attitude. The facilities including toilets are a filthy disgrace. It was common knowledge years ago to employ ex-McDonald's employee was employ a well-trained and well-present... Read moreed individual. Not anymore would you consider an ex- McDonald employee because all you would get is someone who is to busy talking on their phone or talking to another staff to bother engaging with a customer. I base my opinion not only on the years I have known McDonald's but also on visiting many, many stores through NSW and Qld. McDonalds you are a disgrace and an embarrassment to your early peers.",Jim F.,2w,11,negative,Staff Behavior | Cleanliness,staff disrespectful and arrogant | poorly trained employees | filthy facilities | deteriorated service,Staff behavior and facility cleanliness have significantly deteriorated over decades of visits.
Horrible,HorribleThe service was horrible all they had to do was put the fries in the bag,John D,2w,12,negative,Service Speed | Staff Behavior,horrible service | simple task not completed,Staff failed to properly bag fries during service.
DISGUSTING Food and gets order wrong,DISGUSTING Food and gets order wrongDisgusting .. always gets my order wrong .. restaurant is messy. NO,Jane F.,2w,13,negative,Order Accuracy | Cleanliness,order always wrong | messy restaurant,Consistent order errors and poor restaurant cleanliness.
HAIR IN MY BURGER,"HAIR IN MY BURGERdisgusting. mine had a hair in it and they gave me no refund, or compensation, and showed absolutely no empathy. the employees working in the kitchen wore no protective headwear to keep from an incident like this happening.One word… disgusting.I’m disappointed in you, Maccas Merimbula.",millie m.,2w,14,negative,Food Quality | Cleanliness | Staff Behavior,hair in burger | no refund or compensation | no protective headwear | lack of empathy,Hair found in burger with no refund or compensation offered.
GREED !!!,"GREED !!!McDonald’s is at its best when it’s maximizing profits. Next time you order a Filet-o-Fish, take a closer look at the size of the fish patty. It’s shrunk by at least 30% over the years. I recently got mine from a McDonald’s in Sunshine, Victoria. The patty was so dry that I peeked between the buns and couldn’t believe how thin it had become. It’s unbelievable, Maccas. I know now why I rarely visit the restaurant anymore. Show details",tony n.,2w,15,negative,Food Quality | Portion Size | Price Value,fish patty shrunk 30% | dry patty | profit maximizing,Filet-o-Fish patty has significantly shrunk and become dry over years.
Thank you for the Elves,"Thank you for the ElvesJust wanted to thank you for your Elf happy meal packs. My 4 little grandies have so enjoyed making up the houses and making a display of elves. We often enjoy a Macca's meal and at this time of year your product made our visits extra special. So again, thank you and Merry Christmas and a very Happy New Year. Show details",Diane F.,2w,16,positive,Special Items,Elf happy meal packs | grandchildren enjoyed | made visits special,Elf happy meal packs brought joy to grandchildren during visits.
If I could give a lower rating I would.  No care.  No responsibility,"If I could give a lower rating I would. No care. No responsibilityVisited Torquay (VIC) McDonalds while travelling. Purchased a cheeseburger and fries. We ate in. The cheeseburger had no onions and no pickles on it. The fries were tipped upside down in the bag served to us. Asked McDonalds for a refund. They advised I could get a refund if I went back to the store in 7 days. As we were travelling and had no intention of driving three hours back, asked for an alternative. None given. Quite happy to sell you an incomplete item made wi... Read moreth a complete lack of care and take your money with no responsibility. What is the point of having a customer complaints contact point if you aren’t actually going to resolve any compliant?? As promised, here is your one star.",Shane S,3w,17,negative,Order Accuracy | Staff Behavior,missing onions and pickles | fries served upside down | unhelpful refund policy | lack of care,Incomplete cheeseburger with poor presentation and unhelpful customer service response.
Big franchise fast food in decline,"Big franchise fast food in declineI try not to eat at Maccas any more as the Food quality is so low and the prices are way too high for the product offered.Having said that I thought I give a try again today and nothing had changed. I ordered a Quarter Pounder and it was terrible, so I threw it out.Thats why there is hardly anyone driving through the drive through anymore, and look at the reviews.Hungry Jacks and KFC aren’t much better.They are losing market share to the independent shops with really nice take away food at similar prices.Like the old saying, you can fool some people sometimes but you cant fool all the people all the time,Stop treating your customers like chumps. Put some effort into your food and service.",Rich,3w,18,negative,Food Quality | Price Value | Service Speed,low quality food | prices too high | Quarter Pounder terrible | declining drive-thru traffic,Poor food quality and high prices compared to competitors make McDonald's unviable.
They're cost cutting or is it profit maximising. They're certainly not into product integrity,"They're cost cutting or is it profit maximising. They're certainly not into product integrityProduct integrity starting to go the way of struggling enterprises. with skimping a new norm!!! Filet of fish burger with half a slice of cheese, Cherry Ripe McFlurry a blithe on Cadbury's stellar reputation with a meagre splash of the cherry topping as if dispensed from the top of a three storey building with a tad more coconut flakes to give one the impression of an approach to the Cherry Ripe acclaim. Cadburys do not trust them to sully your name w... Read moreith such indifference. No more lettuce in the Chicken burger instead the bottom of the container is strewn with 4-5 shreds of the white bottom section of the lettuce. The large serve of fries is so medium, but also limp and cold after a 5 minute drive. Hungry Jacks I am never ever going to sacrifice a longer drive for your wholesome offerings rather than waste my time or money on the joke that is the new MacDonalds.",Lindsay W.,3w,19,negative,Food Quality | Portion Size | Food Temperature,cost cutting practices | half slice cheese | meager cherry topping | limp cold fries | insufficient lettuce,Portion sizes reduced and food quality compromised across multiple menu items.
Fifty cents,"Fifty centsCheck out picture explains everything,just bigger than 50cent piece.fair trading not.",Rick,3w,20,negative,Portion Size,portion smaller than coin | unfair value | deceptively small,"Portion size was extremely small, smaller than a fifty-cent coin."
Customer service,Customer serviceI won a $100 voucher for a competition the customer service at main office is absolutely disgusting only respond by emails they can't be bothered talking about an issue you might have wat they say compared to wat they do is way off acceptable never ever again I will ever deal with this pathetic business.,Craig,3w,21,negative,Staff Behavior,poor customer service | unresponsive | won't resolve issues | won competition voucher,"Customer service refused to communicate by phone about voucher issue, only via email."
No tomato or cucumber in salad,"No tomato or cucumber in saladGot a classic chicken salad at mcdonalds yanchep.9.12.2024.All there was was lettuce and chicken. No tomato or cucumber, if they had run out, tell us.",Virginia F.,3w,22,negative,Order Accuracy | Food Quality,missing ingredients | salad incomplete | no notification of shortage,Salad was missing tomato and cucumber with no explanation for the shortage.
wrong size + missing bun,"wrong size + missing buni ordered a large classic angus meal and a mcchicken on its own. the meal was a medium, and the mcchicken is missing its bottom bun? how does that even happen?? i ordered through doordash so i can’t even go in and complain.",rhyeL,3w,23,negative,Order Accuracy | Portion Size,wrong size meal | missing bun | delivery order | unable to complain in-store,Large meal arrived as medium and McChicken missing bottom bun.
Food Poisoning MacDonalds Lakehaven NSW central coast,Food Poisoning MacDonalds Lakehaven NSW central coastI have been ill for a whole Year!!! they gave me the worst food poisoning December last year after a meal it was only thing i had eaten all day... i vomited for 12 hrs with in about 30-40 mins of eating i knew something was wrong with the food because my stomach immediately felt bad and it just progressed over the next few hrs to uncontrollably vomiting.... now been hospital about 15+ time's this year especially first few months was awful because I kept getting and still do enormous acid blo... Read morewn up stomach attacks that give.me chest pain difficulty breathing and discomfort.....its just awful i cant eat what i want nor can i go extended periods without something that agrees with my tummy....its just terrible ruines my days nights have to.constantly try to nurse my stomach,Bigdonga88,3w,24,negative,Food Quality,food poisoning | severe illness one year | vomiting | ongoing health issues,Experienced severe food poisoning with ongoing health complications lasting over a year.
very good  service,very good serviceWent to Mc Donald's in Ingleburn store number 1858 time 0922 did not have to wait long the girl be hind the counter was very pesante and it did not take for the food and drinks over all the Service was good and the seat area was clean,Henk,3w,25,positive,Service Speed | Staff Behavior | Cleanliness,quick service | pleasant staff | clean seating area | no wait,Fast service with pleasant counter staff and clean dining area.
DISGUSTING behaviour at my favorite McDonalds!,"DISGUSTING behaviour at my favorite McDonalds!So basically, I was at my McDonalds with my cousins and brothers. We walked over to the register to to order our food. Then when the employee looked right at my brother she fat shamed him! She said ""you stop going to McDonalds cause you just fatter everytime you get here. You should probably exercise."" I cannot explain the disgusted looked I gave her in anger. I hopped over the counter and started ripping her hair out screaming ""HOW ABOUT YOU EXERCISE YOU COW!"" Because if someone ever DARES to menta... Read morelly OR physically harm MY family I WILL kill them. My cousins started recording this, screaming my name going ""GO STARRY!"" And I beat the SH#T out of that B#TCH. Then other employees came and told their manager. The manager walked there and looked at the six of us in disgust. Saying ""you need to leave this store or I'm calling police."" So of course we didn't leave, because we are not letting some RAT get away with fat shaming my SUPER AWESOME BROTHER. So instead of leaving I got up and looked at the manager laughing. Then my cousin and brothers jumped over the counter and started biting the manager. I screamed ""EVERYONE LEAVE! THIS STORE IS ATROCIOUS."" Everyone boo'd and left. I smirked and got myself a free happy meal and a soft serve. Next day I went to a McDonalds I've never been to, so I obviously brought my cousins and brother along. We ordered and sat down. We waited like what? 2 hours! And we where the ONLY people there! Our food arrived and when I took a bite off one of chippies my tooth FELL OUT! The chip was ROCK HARD. I don't know what your employees have to do to fix these mistakes but I will be coming for you next! And next time, if my chipies are rock hard. I will cook you into my chips. Anyways, onto the point. There was this ONE McDonalds I've always loved! One time me and one of cousins went there cause we were itching for two soft serves and a giant eagle drink. So when we ordered the young lady was very beautiful and kind! Then when we got our food, she threw it on us! Saying we looked at her wrong. My cousin got up and pulled out a shotgun and killed the employee. Then we got our order by making it ourselves! McDonalds, if you don't do atleast SOMETHING to fix these problems. I will be burning down every McDonalds I find! Sincerely Starry prince. Love you!",Starry P.,4w,26,negative,Staff Behavior | Food Quality,discriminatory comments | hostile behavior | rock hard chips | poor service,Staff made discriminatory comments; separate visit had rock-hard chips.
"Why is this beyond a kitchen full of young women? Oh, wait","Why is this beyond a kitchen full of young women? Oh, waitThis morning I decided to go to McDonalds so someone could stuff up and I'd have to spend a total of forty minutes and the gas to drive there and back fixing the stuff up on a two item order.Putting the women in that kitchen together is like multiplying zeroes. They very perfunctorily apologized for getting it wrong, didn't check what they were giving me and proceeded to get the order wrong for a second time. Show details",James Danton,1mo,27,negative,Order Accuracy | Staff Behavior,orders wrong twice | no verification | perfunctory apology,Staff got order wrong twice without checking items before handing over.
Incomplete order,Incomplete orderI live in Traveston and visit local business about once a fortnight. I have rarely received my complete order. . Lately it has been very bad.,Trevor G.,1mo,28,negative,Order Accuracy,incomplete orders | frequent missing items | worsening issue,Rarely receives complete orders; problem has gotten worse recently.
Not the first time,"Not the first timeCorner of stud road and heatherton road. Right next to BP.Cold burgers, soggy chips, where's my onions and pickles as shown on your ads?",xx x.,1mo,29,negative,Food Temperature | Food Quality | Order Accuracy,cold burgers | soggy chips | missing toppings | not first time,"Cold burgers, soggy chips, and missing advertised onions and pickles."
Macwrongalds,"MacwrongaldsJust had the summer special, both the chicken and beef burger, both was terrible, your BBQ smoke is shiet no matter what you put it in, stop using it, your food tech I hope you don't pay them you havnt made a good burger in the last 5 years. At this rate I only eat macdonalds once every 6months, done from once a month, 8 years ago it used to once a week. Burgers are really better at hungry jacks. Show details",Choclatte,1mo,30,negative,Food Quality,terrible burgers | BBQ smoke flavor | quality decline | worse than competitors,Summer burgers were terrible with poor BBQ smoke flavor; quality has declined significantly over years.
Do not recommend,"Do not recommendI don’t hide the fact I live on either meal prep or fast/servo food via drive thru or fuel purchases and have eaten some truly suss stuff to fuel my life. The Macca pineapple bbq deluxe has hit a new low and motivated me to write this, my first ever food review. I don’t know who hurt you maccas but get help. There is no need for you to inflict your pain on others. I’m not sure how you dehydrated the pineapple to that point or desaturated its flavour but I’m suspecting alien technology. I also know we are in a cost of living ... Read morecrisis, but it is accepted practice to take out of the stem and top of the tomato and I feel this is a reasonable request. The bbq sauce also is generally meant to be in the bun itself not congealed as a side offering to the waste gods. Not that you care but I’ll take my atrocious eating habits elsewhere.",Suzie W.,1mo,31,negative,Food Quality | Order Accuracy,pineapple BBQ deluxe disappointing | dehydrated pineapple | improper sauce placement | poor tomato preparation,"Pineapple BBQ deluxe had dehydrated pineapple, misplaced sauce, and poorly prepared tomato."
Poor very poor would not recommend ever,Poor very poor would not recommend everLet's the picture tell the story a gourmet Angus 1,Craig D.,1mo,32,negative,Food Quality,poor quality | gourmet Angus burger | would not recommend,Gourmet Angus burger was poor quality and not recommended.
Pleasantly surprised experience,"Pleasantly surprised experienceI must say one of the best McDonald's l have experienced. Super clean, super polite and friendly service. The food was warm! and not shoved in the box. Was a great eat in experience. Thanks East Albury McDonald's Staff!!",SMA,1mo,33,positive,Cleanliness | Staff Behavior | Food Temperature,clean restaurant | polite friendly service | warm food | eat-in experience,"Clean restaurant with polite staff, warm food, and excellent eat-in experience."
30 Days 30 Rubbish Deals,30 Days 30 Rubbish DealsThis year's 30 days 30 deals is the worst rubbish I have ever seen! Nearly every day is either chicken nuggets or chicken burger. MacDonald's has the worst tasting chicken out there of any place I know! Plus a lot of the deals weren't even that cheap! Seriously can do better!,Tim,1mo,34,negative,Food Quality | Price Value | Special Items,poor 30 days deals | repetitive chicken items | bad chicken taste | not cheap,30 Days 30 Deals promotion is poor with repetitive chicken items and bad tasting chicken.
Always misses order,"Always misses orderAlways misses something when we order. Hasn't gotten a single order correct, but the food tastes great. Show details",Tim W.,1mo,35,mixed,Order Accuracy | Food Quality,always missing items | orders never correct | food tastes great,Orders consistently incomplete but the food itself tastes great.
Quality disappearing,Quality disappearingJust went to Sunbury near station ordered 2 large and 1 small sundaes disgusting all ice and water and got charged $15.20.ripped off big time.,Paul c,1mo,36,negative,Food Quality | Price Value,sundaes all ice and water | overpriced | disgusting | ripped off,Sundaes were watery and icy; charged $15.20 for poor quality product.
Rude shift manager,"Rude shift managerMy daughter visited the store and experienced extremely rude, aggressive, and unprofessional behavior from the shift manager (Harrisdale, Perth, 6112, Tuesday, 19 Nov 2024, 7:01 pm). The manager threw her Happy Meal at her, and even the box was torn. My daughter was treated poorly, started crying, and was very upset when she left.When I approached the manager to ask why they acted this way, they responded with shouting and aggression, completely disregarding professionalism. The shift manager was exceptionally rude, disrespe... Read morectful, and irresponsible in their role. I will share this experience with everyone I know and do everything I can to expose the poor service and unprofessional behavior at this McDonald’s. Incidents like this will undoubtedly damage the brand’s reputation.",Hossein H.,1mo,37,negative,Staff Behavior | Order Accuracy,rude shift manager | aggressive unprofessional behavior | thrown Happy Meal | damaged box,"Shift manager was rude and aggressive, threw daughter's Happy Meal, causing distress."
Yummy,YummyFast and tasty hot fries and nuggets with friendly customer service,Sophie L.,2mo,38,positive,Service Speed | Food Temperature | Staff Behavior,fast service | tasty hot fries | friendly customer service,Fast service with hot tasty fries and friendly customer service.
Teenage workers are afraid to talk to customers,Teenage workers are afraid to talk to customersMcDonald's Cheltenham Vic. I wanted a salt sachet. Waited 5 minutes at the counter and was completely ignored by 5 teenagers. They all looked at me but just walked off. One of them was the manager. Maccas is dying.,boomer,2mo,39,negative,Staff Behavior | Service Speed,teenage workers ignored customer | manager unhelpful | slow service | poor communication,Five teenage workers and manager ignored customer's request for salt sachet for five minutes.
Bad quality,"Bad qualitySupplied with a chick wrap with no lattice and tomato. Asked the manager the first time he said there is no problem. The second time went back and showed him, he tell kitchen to remake itThis is garden city MacDonald store",Ada H.,2mo,40,negative,Food Quality | Order Accuracy,chicken wrap missing ingredients | no lettuce and tomato | manager dismissive | had to remake,Chicken wrap arrived without lettuce and tomato; manager initially denied issue before remaking.
McDonalds yallambie Food is disgusting dry they get orders totally wrong,"McDonalds yallambie Food is disgusting dry they get orders totally wrongMonday 11/11/24 around 9 pm i went to McDonalds Lower Plenty RD MCDONALDS YALLAMBIEI ordered 2 triple cheeseburgers 2 large fries one large strawberry thick shake 2 chips i got one of the Burgers in a large meal deal..When i ordered at the microphone i told the girl i wanted 2 triple cheeseburgers 1 in a large meal.and told her no large onions i want the usual cheeseburger onions as they taste better. hardly any onion that was put on the burgers and it was sliced onion... Read more on them! once ordered i was told to wait in service bay. I waited OVER 10 MINUTES to get my first wrong order. I asked the chap just to make sure i got what i ordered i asked him if they were triple cheese burgers he said no and took them back in side store i also gave him a melted thick shake back asked for a new one non melted.i told him to take the thickshake back he said keep it he would give me a fresh one in which was not really thick at all. Ok when order was re done and got home the burgers were not as i asked for.. I ORDERED THE TRIPLE CHEESEBURGERS with meat cheese onion only. also told the girl twice i don't want the large onion pieces.. i asked for the cheese burgers to also only give me chopped onion the small diced onion as it has a far different Taste. I also asked for extra onion. similar happened a few months back. i complained they put my name in a book to get my next lot free. but after that 1 night i never went back. after months i backed down and trusted them yet again. and as usual they messed up my meal. i tried a few of their chips that were only warm Disgusting. ive tried to get them on the phone for over 2 hours they knew very well they messed up and expected me to ring them. only no answer. Now i am warning others up this way to go to Greensborough Store or Eltham in which both are just a hop jump from yallambie store and youre there!! This time i want a full refund and will never go there ever again. that business STINKS. ive gone there for around 12 years and have had dozens of them mess up my orders. and i'm sick of it!! $29.50 WASTED AND WILL MAKE CERTAIN I'M FULLY REFUNDED. I STILL HAVE THE GRUB IN WHICH IS BETTER REFERRED TO AS GRUB. I WOULDNT EAT IT. LOOKED DRY AS WELL.. DONT GO THERE GO TO A DIFFERENT MCDONALDS They say they dont have a Facebook group. here is the link to it on facebook https://www.facebook.com/profile.php?id=100090121530894 copy and paste from my online bank. i would appreciate a full refund. no one would eat grub like ths not as ordsered Filthy store at times. MCDONALDS YALLAMBIE YALLAMBIE VICAU-$29.50 ----------------------------------------------------------------------------------------------------------------- BANK DETAILS IN CUT AND PASTE BELOW MCDONALDS YALLAMBIE YALLAMBIE VICAU-$29.50 This business may have a different trading name. You can look it up online if you're not sure what it is.If you think this is an unauthorised transaction, go to Disputing a transaction to let us know.OnMon 11 Nov 2024 (Syd/Melb Time) This business may have a different trading name. You can look it up online if you're not sure what it is.If you think this is an unauthorised transaction, go to Disputing a transaction to let us know. OnMon 11 Nov 2024 (Syd/Melb Time) CategoryFast food restaurants i just noticed that this burger had pickle on it as well. in pic see onions see pickles.i never order pickles.they ruin my taste and i only like cheeseburger onion with lots on burger. PLEASE MAKE THE STORE AT YALLAMBIE HAS TO PAY FOR THIS IF HEAD OFFICE PAYS YOU SHOULD MAKE YALLAMBIE STORE PAY IT. AND MAY TEACH THEM A LESSON they could have gave me a refund or replacement but wouldnt want any food fro this store! ---------------------------------------------------------------------------------------------------------------0 Thank You Graeme Zerna",Graeme,2mo,41,negative,Food Quality | Order Accuracy | Service Speed | Cleanliness,dry disgusting food | wrong order | 10 minute wait | onions not as requested | melted shake | warm chips | no answer on phone,"Multiple order errors, 10-minute wait, dry food, wrong onion type, and unreachable customer service."
Maccas at Cartwright NSW has a very hardworking team!,"Maccas at Cartwright NSW has a very hardworking team!Went to Maccas, Hoxton Park Road, Cartwright to buy one of their November special deals. The store and tables were clean, service was prompt and the nice girl was very helpful. The team were working their butts off. Probably within 3 minutes my order was ready!!! Piping hot and fresh. It was the first time I tried a Big Mac, and sadly they left the cheese, pickles and onion off, but full points for the service. Also tried McNuggets for the first time. They were delicious. I've always had great service there.",Deb at Miller.,2mo,42,mixed,Service Speed | Food Quality | Cleanliness | Staff Behavior,hardworking team | clean store | 3-minute service | piping hot fresh | Big Mac missing toppings,"Excellent service and speed with clean facilities, but Big Mac missing cheese, pickles, and onion."
Food poisoning at Broadway MacDonalds,"Food poisoning at Broadway MacDonaldsDear Edwina,We are responding to your complaint concerning your purchase from Broadway McDonald’s restaurant, which you reported as resulting in illness.All food complaints are of serious concern to McDonald’s and as a result, we have thoroughly investigated your complaint, including carrying out a complete quality review of the restaurant. The results of this investigation confirm that all food ingredients were within shelf life and in good condition, and all in-store operational procedures, including s... Read moreanitation and hygiene, food storage, preparation and cooking were followed. We note that your complaint relates specifically to your purchase of Bacon & Egg McMuffin; Chai Latte; Hashbrown. Our records indicate that on the day in question the restaurant served 2311 other customers. We would like to reassure you that to this date, the restaurant has not received any other complaints of this nature. Whilst we sincerely regret learning of you becoming ill, we hope you have now recovered and are well. Based on the results from our investigations, we have been unable to identify the possible origin of your illness. As a valued customer, we appreciate the fact that you have taken the time to notify us of your concerns and we hope you will be able to give us the opportunity of serving you again in the future. Kind regards, Chantal McDonald’s Customer Service A week later Mac Donald’s requested a response or feedback This is what I wrote back in response I am making a claim with Mac Donald’s my clothes ruined faeces all over my clothing and footwear due to food poisoning at your Broadway will not be going back will write a review on social media platform/s Friday Mac Donald’s insurer contacted me stating it takes 10 days To process the claim Claim is for: Clothing footwear soiled by faeces by food poisoning The Sunday Mac Donald’s sent me a email this weekend Asked for feedback on their customer service Rating them poor And the insurer contacted me in regards to the claim was knocked back Disgusted at Maccas poor hygiene",Edwina K.,2mo,43,negative,Food Quality | Cleanliness,food poisoning | clothing ruined with faeces | poor hygiene | claim rejected | unsatisfactory investigation,Customer claims food poisoning from Bacon & Egg McMuffin resulted in severe illness; claim rejected by insurer.
all good',all good'kai cenat meal was so good you should get it with the grimce shake with the white cream,hgfggh t.,2mo,44,positive,Food Quality,Kai Cenat meal | very good | Grimce shake,Kai Cenat meal and Grimce shake were very good quality.
Great Service,"Great ServiceWhat service, your team at Richlands . 19 Government Road Richard’s QLDClean and all of your team were great.The best service, I’d stopped going to Mac Donald’s due the crappy service from different places.Oxley was the worst one, no team member came to serve me. Music blaring in back.Due to myself wanting to be served by person I waited for 5 minutes. Not one team member came to serve, hence I walked away, I’ve have returned this Mac Donald’s Oxley just to if 1st visit was a one off. No still crappy or no service.But my first visit in Richlands has changed my mind. This team give your self a huge pat on the back",bubbly_bubbles22,2mo,45,positive,Staff Behavior | Cleanliness,great team | clean store | excellent service | personal attention | returned due to good experience,"Richlands location provided outstanding service, clean facilities, and attentive team members."
Very Ordinary Burger Size,"Very Ordinary Burger SizeFILLET OF FISHHOW MUCH SMALLER CAN YOU MAKE IT.Today I made history.Never in my 64 years have I eaten a burger so small.McDonalds, you have got to be kidding presenting a fillet of fish burger on a 75mm round bun.I'm very disappointed you could think that this is acceptable.No price reduction, just downsized and greed.Wrong Decisions McDonalds.Want to p*ss people off ?... Read more Keep doing greedy downsizing like this.",Mark,2mo,46,negative,Portion Size | Price Value,fillet of fish burger extremely small | 75mm bun | no price reduction | downsizing | greedy,Fillet of fish burger excessively small with no price reduction; perceived as greedy downsizing.
Worst experience of customer service I've ever seen,Worst experience of customer service I've ever seenHave to say worst service we were made to wait in the waiting bay for our food manager was quite rude basically got our food thrown at us an then was told in a rude manner oh we were waiting on product quite frankly if can't handle the early or really late shifts then you shouldn't be working an if you can't talk to customers properly then don't work in a fast food restaurant,Emma W.,2mo,47,negative,Service Speed | Staff Behavior,long wait in bay | rude manager | food thrown | poor communication,"Manager was rude, food service delayed and thrown, staff unprofessional and dismissive."
Disappointed,"DisappointedOrdered small fries, stale as, they were not freshly cooked, but reheated…..thanks a lot.",Linda,2mo,48,negative,Food Quality | Food Temperature,small fries stale | reheated not fresh | disappointed,Small fries were stale and reheated rather than freshly cooked.
Thank you,Thank youWent to mcdonald's Saints Road for my mum's birthday my Aunty has dementia and was having a bad day the staff were outstanding especially Addison couldn't have been any kinder looked after us all with a smile the service was outstanding the food was great to thank you all so much,David M.,3mo,49,positive,Staff Behavior | Service Speed | Food Quality,outstanding staff | Addison very kind | great service | excellent food | dementia customer care,"Staff, especially Addison, provided outstanding service and exceptional care for customer with dementia."
