reviewerID,asin,reviewerName,helpful,reviewText,overall,summary_x,unixReviewTime,reviewTime,row_id,sentiment,categories,keywords,summary_y
AKHWZ3S1UVZAO,B000068NW5,Hagen LeBray,"[0, 0]","This my second Hosa guitar cable. (The other one is shorter.) Like my first Hosa cable, this is a high quality item. I'd definitely buy more cables of this brand.",4,Nice Cable,1397779200,"04 18, 2014",58,positive,Cable Quality | Build Quality,second Hosa cable | high quality | would buy more,High-quality Hosa guitar cable; customer would purchase more from this brand.
A3LNNEYLGGCO25,B000068NW5,Hans R,"[0, 0]","Works for practice ... it's a guitar instrument cable, what can I say ... maybe not the best but it serves it's purpose.",3,maybe not the best but it serves it's purpose,1404518400,"07 5, 2014",59,positive,Cable Quality,works for practice | serves purpose | guitar cable,Functional guitar cable that serves its purpose for practice use.
A2RCCN4KEXZGC8,B000068NW5,"Joe Average ""Joe Average""","[0, 0]",This product does exactly what it is supposed to do at a decent price. I have absolutely no complaints. This is my first experience with the brand and I am not disappointed.,5,No Complaints,1377388800,"08 25, 2013",63,positive,Cable Quality | Value for Price,does what it should | decent price | no complaints | satisfied,Product performs as intended at decent price with no complaints.
AN73VQ17FZVJ8,B000068NW5,MJK,"[2, 2]","One end was loose, so I tightened it, it keeps coming loose so I had to put a dab of crazy glue on the threads, hope I don't ever have to open the end for repair.",3,Good for the Price,1371168000,"06 14, 2013",76,negative,Cable Quality | Build Quality,loose end | keeps coming loose | threaded connector issue,Cable connector end repeatedly loosens despite tightening and glue application.
A3RHT4KI3H5TVH,B000068NW5,pops,"[0, 0]","Hard to day too much, but it works great. No issues to speak of. It does the job perfectly well",5,worth it,1379894400,"09 23, 2013",80,positive,Cable Quality,works great | no issues | does the job,Cable works perfectly with no problems encountered.
A19NGYCQ1NCF3W,B000068NW5,S. Haney,"[4, 4]","I've been using these for about 3 weeks now - they are strong but flexible and don't seem to develop kinks or bending ""habits"" if you roll them up the proper way.I've seen and used some better cables but not at this price point. And I've certainly seen quite a few worse! This is a pretty good sweet spot, in my opinion.",4,Very Solid Cables,1295568000,"01 21, 2011",88,positive,Cable Quality | Durability,strong and flexible | don't develop kinks | good value | sweet spot,Strong flexible cable at a good price point with solid durability.
A18LZ6VHS4DK69,B000068NW5,Wesley Newell,"[0, 0]","I own lots of hosa cables they are cheap and quality is there. I've only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them, they havn't failed yet.",5,hosa rocks,1360886400,"02 15, 2013",92,positive,Cable Quality | Value for Price,cheap and quality | reliable | 50 cables tested,Hosa cables offer quality at low cost with minimal failure rate.
AQG6AQXC703WD,B000068NZC,Bob,"[0, 0]","It is a decent cable. It does its job, but it leaves much to be desired as far as structural integrity is concerned. The mating part of the connector jiggles back and forth. The switch is also loose. The connector will move around 2mm out of the microphone without the switch being pressed.'I would not recommend using this cable for critical applications. It would be more suited to home or hobby use.",3,Does Its Job,1395792000,"03 26, 2014",93,negative,Cable Quality | Build Quality,loose connector | jiggles | poor structural integrity | not for critical use,Cable has loose connectors and poor structural integrity unsuitable for critical applications.
A21VM9WVF8EOSJ,B000068NZC,"J. Warren ""NiALTA""","[3, 3]",Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way it's supposed to. 90 degree TRS is a nice touch. Good price.,5,Does what it was intended for,1323129600,"12 6, 2011",95,positive,Cable Quality | Value for Price,works as expected | 90 degree TRS | good price,Functional cable with useful 90-degree connector at a good price.
A3M48SSAOTBSMW,B000068NZC,"L. Rapoport ""lenrapp""","[3, 3]","Just received this cord and it seems to work as expected. What can you say about an adapter cord? It is well made, good construction and sound from my DSLR with my mic is superb.",5,Works as expected,1335312000,"04 25, 2012",96,positive,Cable Quality | Build Quality | Sound Quality,well made | good construction | superb sound,Well-constructed adapter cord delivering excellent sound quality from DSLR mic.
A2NYK9KWFMJV4Y,B000068NZG,"Mike Tarrani ""Jazz Drummer""","[0, 0]","First, the reasons why I awarded this five stars: the construction is uniformly excellent. Both ends have strain reliefs, the 1/8"" connecter perfectly mates with the plug into which I insert it, and the XLR end is a quality component.I purchased this specifically to transform the third channels in myPowerwerks 50 Watt Personal P.A. Systeminto something more useable. This greatly expands the functionality and versatility of the portable PA by allowing me to plug in another mic. Since I have three of those units daisychained I was able to significantly enhance the entire system with this simple adapter.Another reason why I love this is it's noise free. In some environments in which I play there are sources of electromagnetic interference that cheap cables will pick up and transmit. I have not had that problem with this one, so it's another plus.Overall I am very pleased with this adapter and actually purchased a spare in case I damage or lose my primary one. It's a bit pricier than others I considered, but I feel that the quality and peace of mind are worth the premium.",5,Solved a big issue for me,1372118400,"06 25, 2013",101,positive,Cable Quality | Build Quality | Sound Quality,excellent construction | strain reliefs | noise free | expands functionality,"High-quality cable with excellent construction, noise immunity, and versatile PA system expansion."
A34IJACMU8C3IM,B000068NZG,"Rob W. ""Sounddude""","[12, 12]","This adapter cable for stereo mics to work with small DV cameras will function but with caveats.First, it's construction is pretty light weight. That means you will have to be ""gentle"" with it when using it. That's something none of us in the broadcast production field want to worry about since our gear gets pretty beat up.Second, the adapter only has a one foot in length cable on it. This is pretty short and may not reach to wherever the mic input jack is on your camera. That means you would need another short XLR mic cable to extend from the mic to this adapter.So just be aware that this may work fine for some and not work at all for others. I went to Sam Ash music and found a similar adapter cable, heavy duty, and with a longer cable for the same price. It pays to shop around!",4,Light Weight Cable For Stereo Mics With Limitations,1229299200,"12 15, 2008",103,negative,Cable Quality | Build Quality | Durability,lightweight construction | fragile | too short | needs extension,Lightweight fragile adapter with inadequate cable length unsuitable for professional broadcast use.
A2QJQ3HSJB4NS,B000068O1N,Bmkeener,"[0, 0]",Great stereo sound out of the keyboards.My keys had a single 1/4&#34; stereo out so this cable was needed to get it to convert to a true 2 channel stereo so we could EQ it properly and it worked like a charm. I highly recommend this cable.,5,Perfect.,1358035200,"01 13, 2013",106,positive,Cable Quality | Sound Quality,great stereo sound | converts to 2 channel | works like a charm,Cable successfully converts single stereo output to dual channel for proper EQ.
A1MVH1WLYDHZ49,B000068O1N,Captn' Bob,"[0, 0]",Another quality product from Hosa. Just what I needed for an insert patch from my mixer to EQ. I always like slightly longer length as I can always zip tie back but hard to stretch! No noise from this cable!,5,GOOD INSERT CABLE,1384128000,"11 11, 2013",107,positive,Cable Quality | Sound Quality,quality product | longer length | no noise | insert patch,Quality cable ideal for mixer inserts with no noise and practical longer length.
A2XXBZPQT5EXHV,B000068O1N,Darren O'Neill,"[0, 0]","When I ordered these I wasn't expecting a whole lot since the price was under two dollars for a nearly 10-foot cable. It turns out the quality is quite excellent and these cables are not flimsy at all. I plugged them into the mixer and waited to hear some static, interference or buzz to explain the low price and all I got was a nice, clean signal. Highly recommend these to anyone with a mixer that needs an insert cable.",5,Excellent Insert Cable,1392595200,"02 17, 2014",108,positive,Cable Quality | Value for Price,excellent quality | clean signal | under two dollars | 10-foot cable,High-quality insert cable at an unexpectedly low price with clean audio signal.
AT09WGFUM934H,B000068O3D,John,"[2, 2]","It's hard not to love a cord that carries electrons all the way to the end. Not sure what, other than complete failure would take stars away.",5,It works!,1384300800,"11 13, 2013",119,positive,Cable Quality,carries electrons | complete failure unlikely,Reliable cord that functions as expected without issues.
A22LLQ00V32YZJ,B000068O3X,jim beasley jr,"[0, 0]","these cable came super fast in the mail, They deliver the level of performance you would expect form low cost cables. they work",4,just what you pay for,1399334400,"05 6, 2014",131,positive,Cable Quality | Value for Price,super fast delivery | low cost | expected performance,Low-cost cable with reliable performance and quick shipping.
A3V1A3C9DTLPME,B000068O3X,"Peter Faden ""robilar5500""","[0, 0]","Really just some inexpensive and yet durable cables to link your stompboxes together. As of yet, i havent had one go all crackly, which, considering they get frequent use, is pretty good. Often, cheap cords die within a year or so. Every electric guitarist keeps a stock of these things, and this one in particular is cheap and accessible. I probably have around twelve of them.Enjoy!",5,No frill cordage...,1336262400,"05 6, 2012",135,positive,Durability | Cable Quality | Value for Price,durable | inexpensive | frequent use | cheap and accessible,"Affordable, durable patch cables that withstand frequent use."
AEN6KDJ3AJDK6,B000068O4H,Patrick M. Waters,"[0, 2]",I got 3 of these to plug XLR cables into the 1/4&#34; jacks on my board. I got it because my board only has 6 channels with XLR inputs. None of them work. Perhaps I got the wrong thing?,2,Not what I thought,1388361600,"12 30, 2013",144,negative,Cable Quality,XLR adapter | does not work | wrong product,Received adapter that does not function for intended use.
A3M05N9UWHIXUI,B000068O59,"Anthony Caraballo ""GenRico""","[1, 1]",As expected from Hosa another great product. Solid construction and great sound reproduced. i would recomed this product to everyone.,5,Great Y cable,1354320000,"12 1, 2012",149,positive,Cable Quality | Sound Quality | Build Quality,Hosa product | solid construction | great sound,Well-built Hosa product with excellent sound quality and construction.
A2WT46GVYE1ZDD,B00006LVEU,"Charles S. Glass ""salty""","[0, 2]","Back in the 1980's I bought a can of deoxit(not the right name but can't remember it) which worked much better and cost much less. It was made for the military. The spray has 3 levels but the low is still way to high. It does work but the stuff I used to have was much better. I don't see much else out there so I may have to stick with it.It is just very wasteful for the cost. I have had good luck with wd40 too, but it is very flammable. I would call it average.",3,There used to be better stuff,1381190400,"10 8, 2013",157,negative,,wasteful spray | too expensive | spray intensity too high,"Product works but is wasteful, expensive, and inferior to older alternatives."
A2QDVOUXE4PYIM,B00009W40D,"Gomer ""me""","[1, 1]","i was truly surprised when i saw how nice it was, has weight to it ,and has good sound , looks nicely made,very good deal for the money,,can't go wrong,, (not a very cheep made microphone ,, MUCH BETTER THEN I THOUGHT IT WOULD BE ! ) its nice,",5,good microphone,1326240000,"01 11, 2012",169,positive,Microphone Quality | Sound Quality | Build Quality | Value for Price,nice quality | good weight | great sound | good deal,Surprisingly high-quality microphone with solid construction and excellent value.
A3TJMZ2YFNECYN,B0000AQRSS,AncientRocker,"[2, 2]","So far, I'm very happy with this Microphone. Tone quality is fine and does everything I need it to do for backup vocals in my band. Although a longer cable would be nice, it's great a cable and was included in the package.",4,Good Mic for the Price,1302307200,"04 9, 2011",185,positive,Microphone Quality | Sound Quality,fine tone quality | backup vocals | included cable,Reliable microphone with good tone quality suitable for backup vocals.
A1AFH79R6W1QOQ,B0000AQRSU,Humbrecht,"[0, 0]","Great all around mic used for vocals. No frills, tough as nails, and great sound for live music. If you're buying your first mic (or switching from a cheapie) and intend to use it for singing/vocals, this is a mic that any musician would probably recommend without hesitation. I've never used another one since the first time I switched from a cheaper mic (that came with some bundle) 10 years ago. I depend on the smoothness of my vocals to carry off songs and this mic reproduces the warm sounds I like perfectly. You can stand 3 feet away and really wail, or get up close for some bass response, or anything in between.The SM58-CN comes with the mic, 25-ft cable, cable tie, carry pouch, and mic clip. The standard SM58 does not have a switch (one less thing to break and I don't miss it) but the SM58-S does have it for a few dollars extra.",5,Great all-around vocal mic,1360022400,"02 5, 2013",210,positive,Microphone Quality | Sound Quality | Durability | Value for Price,tough construction | great vocal sound | warm tones | long-term reliability,"Durable, reliable vocal microphone with warm sound quality and excellent long-term value."
AQFOCVEBDCYU9,B0000AQRSU,Jazzgryl52,"[1, 1]",no complaints here! the quality is great! the sounds is excellent! and my voice sounds wonderful and crisp. use it all the time.,5,jazzgryl52,1379116800,"09 14, 2013",212,positive,Sound Quality | Microphone Quality,great quality | excellent sound | crisp voice | use all the time,User is very satisfied with the microphone's sound quality and voice clarity.
A34IJACMU8C3IM,B0000AQRSU,"Rob W. ""Sounddude""","[5, 5]","In the immortal words that John Cameron Swayze used when hawking his Timex watches during the early days of live television, the Shure SM58 Vocal mic fits perfectly into that same category.Before I found a career as a film and television sound recordist and mixer, I played in rock bands and did live sound mixing. One of the very first mics we truly fell in love with was the SM58. Introduced by the Shure Brothers Company in 1966, the SM58 quickly rose to become the industry standard in rugged road mics that actually sound good to the ear and are nearly indestructible.The mic capsule is of cardiord (heart shaped) design which helps reject sound from either side. There is a 4K bump in it's frequency which helps vocals cut through stage noise. Construction is rugged, frequency response is 50 to 15,000 Hz, and the capsule sits internally on a foam shock mount to help isolate it from handling noise.We used to joke about the SM58 in that if you needed a hammer and you couldn't find one, just grab one of these, they are that tough. I've seen some of these on the road that you couldn't believe still worked, but they did and sounded great.The cage style pop screen gives the SM58 not only it's distinctive look, one that influenced many other mic brands from the day it was introduced, but it's part of the functionality. Internally lined with a layer of acoustic foam, the cage helps keep vocals pops from getting to the dynamic mic element. As a frame of reference, theShure SM57LC Shure SM57 Cardioid Dynamic Microphoneis the same exact mic and capsule, but without the pop screen.Shure also sells a Performer series mic, theShure Beta 58A Supercardioid Dynamic Microphonethat looks almost identical to the SM58 but uses a totally different mic capsule and transformer and has a different sound so try before you buy.The Shure SM58 is still considered the industry standard of live performance mics today and for the price, they really are a good deal.",4,Takes A Licking And Keeps On Ticking,1229126400,"12 13, 2008",216,positive,Build Quality | Durability | Sound Quality | Microphone Quality,industry standard | nearly indestructible | rugged | sounds great | cardioid design,The SM58 is praised as an indestructible industry standard with excellent sound and rugged construction.
A6FIAB28IS79,B0000AQRSU,Samuel Chell,"[19, 21]","I made the mistake of thinking I could save forty bucks and get by with the Shure PG-58. I'm no vocalist but occasionally need to do announcements or accommodate a guest vocalist through an instrument amp (rather than a P.A.). Whatever the reason, the PG-58 simply doesn't have sufficient gain or oomph to be of much use with the Roland Cube / Peavey amps I try to employ it with (I use a 1/4"" adapter with the XLR connector that comes with the mic). When I borrow a Shure SM-58 mic from someone, the difference is instant and dramatic--it's a far more efficient (i.e. louder) mic, producing a full, clear sound, and without additional pre-amplification, demonstrating why it's the most popular microphone in the world. For five bucks extra, I can't fathom a reason for avoiding the SM-58S, the version with an on-off switch. It's a small price to pay for quick solutions to feedback or the unwanted pick-up of ""private"" comments by indiscreet band members. And even if you're an instrumentalist, it may be wiser to select the SM-58 over the SM-57. The former mic is a little more ostentatious, but it's also slightly more adaptable, and the screen can filter out a certain amount of wind noise and unwanted non-musical sounds. Above all, the SM-58 has proven itself to be the Sherman tank of microphones, simply unparalleled for ruggedness and durability.[I see a review cautioning the consumer to be wary of ""this seller."" Perhaps a good point unless it's in reference to Amazon Prime, which is the Shure SM-58 of commerce: competitive prices, no postage, easy returns. But anyone who returns an SM58 probably had no business buying it in the first place. They are the populous drones of the industry, invariably purchased by professionals who know first-hand what they're getting--reliability and virtual indestructibility. In fact, it's the very popularity of the SM58 that has led to all of the slightly less or more expensive imitators. Consumers require choice, but with the Shure SM58 there need be none.]",5,A Shure Bet.,1245110400,"06 16, 2009",217,positive,Sound Quality | Microphone Quality | Durability,efficient | full clear sound | most popular microphone | Sherman tank | unparalleled durability,"SM58 vastly outperforms cheaper alternatives with superior gain, clarity, and legendary durability."
A1ESUYMIG3TZT0,B000165DSM,Bobby  W.,"[0, 0]","Didn't know what to expect for under $10, but it proved to be worth the gamble.This cable appears to be well constructed and it works fine for me(amateur use, infrequent setup/teardowns).It's a decent 15 feet long, and has a locking button on the female end.I'm quite happy with it.",5,Good cable for next to nothing,1303257600,"04 20, 2011",221,positive,Cable Quality,well constructed | works fine | 15 feet long | locking button,User is happy with the affordable cable's construction quality and functionality for amateur use.
AKSFZ4G1AXYFC,B000165DSM,"C.E. ""Frank""","[0, 0]","I use this cable for small home recording projects. I do not take the cable around to gigs or shows, as I am pretty sure it wouldn't last longer than a few months of heavy use. The sound quality is fine and the metal connecters feel a little bit flimsy. If your looking for something that is cheap and will do the job, this is your product.",4,Works as it should; for the person on a budget,1321574400,"11 18, 2011",222,mixed,Cable Quality,fine sound quality | flimsy connectors | cheap | light use only,Cable works adequately for home use but connectors feel flimsy and durability is questionable.
A2CPP7BZKOF9TP,B000165DSM,R Zimmer,"[0, 0]",well made and the perfect length for my needs. the shielding was great as well. the end connectors were well made and strong.,5,quality made,1366502400,"04 21, 2013",233,positive,Cable Quality,well made | perfect length | great shielding | strong connectors,Cable is well-constructed with excellent shielding and durable end connectors.
A2QJQ3HSJB4NS,B0001FTVD6,Bmkeener,"[0, 0]",They are screws. They screw in and hold things. To say that they did less would've gotten the 1 star. I like them.,5,They do the job,1358035200,"01 13, 2013",239,positive,,screws in and hold things | functional | minimal expectations,Screws function as intended to hold things in place.
A37AQI4AU3JWSR,B0001FTVD6,Joshua,"[0, 0]","Donr be fooled by the imitations... should be their slogan. There are some real junky ones out there and these are great, love the washers, life savers. Thanks!",5,Best rack screws for your money.,1355788800,"12 18, 2012",245,positive,,better than imitations | great quality | washers | life savers,Product is superior to imitations and washers are considered highly valuable.
A3CSSZ6U5J4YS5,B0001FTVD6,overbybr,"[0, 0]","There are other rack screws out there, but Raxxess makes the best quality screws and soft washers available.",5,As good as it gets,1403827200,"06 27, 2014",248,positive,Build Quality,best quality screws | soft washers | superior to competitors,Raxxess rack screws and washers are the best quality available.
A7TRK2GG6BHWD,B0002BACB4,"Johnny Pasta ""Johnny Pasta""","[1, 1]",Why drive a Pinto when you can drive a Cadillac? This is the industries best mic as far as I am concerned. I had a Shure SM 58 like everyone else owned but there is no comparison between this mic and a SM58. SM 58 is garbage compared to the Beta 58A. Spring for the extra bucks and be happy. That's what I always say.,5,Best All Around Mic For Live Applications,1358035200,"01 13, 2013",251,positive,Sound Quality | Microphone Quality,industries best mic | no comparison | Beta 58A superior | worth the extra cost,Beta 58A vastly outperforms the SM58 and is the industry's best microphone.
AGYH5U11ZKPFB,B0002BACB4,kannibul,"[0, 0]","I have one of these, as well as several other microphones. The SM58 is a good all around mic - the reason it's an industry standard/go-to, but the Beta 58A is a better (in my opinion) vocal-specific mic...basically giving (again, in my opinion) a higher quality sound. The SM58 by comparison sounds muffled/muddy, where the Beta58A is clearer, stronger, and more articulate. If you're used to the SM58, then the Beta58A can sound thin and harsh, but, that is adjustable at the board - end result is that it's a tighter sounding mic with more clarity.Pattern-wise, it does better at rejecting unwanted sounds - I play drums and use this mic for that reason, is that it picks up less of my drums than a SM57 or a SM58.",5,Built like a hammer. Better than some hammers actually.,1348099200,"09 20, 2012",252,positive,Microphone Quality,clearer sound | better vocal-specific | more articulate | rejects unwanted sounds,"Beta 58A offers clearer, more articulate sound than SM58 with superior off-axis rejection."
AXX6BZDD8K4JL,B0002CZR3G,Eric,"[1, 1]","Hey, it gets the job done and that's all I can ask for. I tried several ""cheapo"" pedals, and this one was my favorite of them all. While some had better casings (metal instead of plastic), at the end of the day I'm looking for a good sound, not a pretty pedal board. The pedal seems solid enough, it doesn't take up much space, it sounds great, and it has a versatile range of sounds as far as tremolo pedals come.AND, if you are like the typical musician, you are looking for something that's not going to break the bank.",4,Gets the job done!,1350345600,"10 16, 2012",259,positive,Pedal Function | Value for Price,sounds great | versatile range | solid construction | affordable,Affordable tremolo pedal delivers excellent sound and versatility without breaking the bank.
A14VAT5EAX3D9S,B0002CZSJO,,"[0, 0]","It is exactly what you need in a capo! You can cover all six strings, move one string over to get a drop d tuning or turn the capo upside down to get a partial capo (though a bit of adjusting may be needed to get the strings held down.).All in all, a great capo that is well made and will last forever.Kyser is an awesome small Christian company and I really like their products and supporting them with my purchases. :]",5,Great,1364860800,"04 2, 2013",263,positive,Build Quality | Durability | Fit and Sizing,well made | will last forever | covers all strings | drop d tuning,"Versatile, durable capo that covers all strings and enables drop D tuning effectively."
A109JTUZXO61UY,B0002CZSJO,Abigail Ferreira,"[0, 0]","My son needed a Capo, expensive at music shop where he takes lessons. At Amazon found what he wanted at reasonable price.",5,Great price.,1383782400,"11 7, 2013",265,positive,Value for Price,reasonable price | exactly what needed,Capo available at a reasonable price compared to music shop pricing.
A1SCWHXAB2ZK7N,B0002CZSJO,"Alexandra Spark ""Published Author""","[1, 1]","I like it, it works well with my takamine acoustic jasmine s35 guitar. And it looks good. Overall, I recommend.",5,Pretty and works nicely,1354752000,"12 6, 2012",267,positive,Fit and Sizing,works well | looks good | acoustic guitar compatible,Works well with acoustic guitar and has good appearance.
A1CUB195YB9XKO,B0002CZSJO,Clifford Haggerty,"[0, 0]",Basically because they are the easiest to squeeze in my opinion. I have big hands which may be part of it.,5,These are my favorites,1389657600,"01 14, 2014",274,positive,Ease of Use,easiest to squeeze | big hands friendly,"Easy to squeeze capo, particularly suitable for users with larger hands."
