rating,date,variation,verified_reviews,feedback,row_id,sentiment,categories,keywords,summary
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better. I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,28,positive,Sound Quality,improved sound quality | better than first generation | more portable alternative,User prefers this model's sound quality over their first-generation Echo.
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,29,positive,Setup and Configuration | Alexa Skills and Features,loves Echo | learning capabilities | unclear instructions,"User loves the Echo and is discovering its features, though package instructions were unclear."
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,30,positive,Device Reliability,better than 1st generation | improved speaker,This Echo speaker outperforms the first generation model.
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool! You should get one. If you want to be cool, that is.",1,31,positive,,way cool | should get one,The reviewer thinks this is a cool product worth purchasing.
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,32,positive,Smart Home Integration | Price and Deals | Alexa Skills and Features,good for cheap price | connects with many devices | smart plug integration | alarm clock functionality,"First digital assistant that offers great value, smart home connectivity, and useful features."
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music. I wish we knew all it's capabilities,1,33,mixed,Alexa Skills and Features,listen to music | wish we knew capabilities | untapped potential,Husband enjoys music playback but reviewer wishes they understood all available capabilities.
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,34,negative,Setup and Configuration | Warranty and Support,Android connection issues | tech support needed | hour+ troubleshooting,Android connectivity problems required over an hour of tech support to resolve.
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,35,negative,Alexa Skills and Features | Voice Recognition,incorrect search results | Broadway shows | group instead of show,"Voice search returns incorrect results, providing band name instead of requested Broadway show."
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,36,positive,Smart Home Integration | Alexa Skills and Features,controls lights | music playback | voice commands,Alexa successfully controls home lighting and plays music on voice command.
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa. I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,37,negative,Voice Recognition | Price and Deals,less accurate than Siri | limited household need | good bargain,Alexa is less accurate than Siri and reviewer sees limited use despite good deal pricing.
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,38,positive,Alexa Skills and Features,love it | learning features | tons of fun,Reviewer enjoys Echo and is having fun discovering its features.
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account. So you must pay to play “your” music. 3 stars for that reason. Everything else is 👍🏻 .,1,39,mixed,Alexa Skills and Features | Price and Deals,requires subscription for playlists | paid accounts needed | everything else works,"Music playlist playback requires paid Amazon or Spotify accounts, though other features work well."
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,40,positive,,excellent | no Spanish language support,Product is excellent but lacks Spanish language option.
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,41,positive,Sound Quality | Alexa Skills and Features,learning to use | great Echo | better sound than expected,Echo works great with surprisingly good sound quality during learning phase.
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,42,positive,Sound Quality | Price and Deals,works as expected | good sound quality | great value at sale price,Device works well with good sound quality and strong value for the price.
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal! Not to mention that I just love Alexa! She is very helpful.,1,43,positive,Sound Quality | Alexa Skills and Features,phenomenal sound | love Alexa | very helpful,Excellent sound quality and Alexa provides very helpful assistance.
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,44,positive,Alexa Skills and Features,had to have it | learning | features,User is enthusiastic and exploring the device's capabilities.
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,45,positive,Setup and Configuration | Alexa Skills and Features,works as advertised | easy setup | learning features,Device works as promised with straightforward setup and learning curve.
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,46,positive,Sound Quality | Setup and Configuration,great sound | easy to set up,Device offers great sound quality and simple setup process.
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,47,positive,Alexa Skills and Features | Gift Purchase,love Alexa | purchased for friends | gift,User loves Alexa so much they bought additional units for friends.
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,48,positive,Alexa Skills and Features,love the echo | companion for elderly | jokes and music | voice commands,Echo provides excellent companionship with voice-activated jokes and music.
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,49,positive,Alexa Skills and Features | Video and Streaming,love listening to music | easy music playback | learning features,User enjoys easy music listening and is discovering additional available features.
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,50,negative,,unclear use cases | limited understanding | needs guidance,User uncertain about device capabilities and practical applications.
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,51,mixed,Design and Appearance,loves device | missing built-in hub | feature request,Likes the device but wishes it included a built-in hub.
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music. It works wonderfully! Still getting used to some of the many things it will do. Amazon has sent several tips since I got it. Thanks for all your help!,1,52,positive,Alexa Skills and Features | Sound Quality,music playback | works wonderfully | learning features | Amazon tips,Excellent for music with great performance; user still discovering its capabilities.
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,53,positive,Setup and Configuration,easy setup | straightforward installation,Setup process was easy and convenient.
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing. Clear concise answers and sound quality is fantastic. I am still getting used to Alexia and have not usde Echo to its full extent.,1,54,positive,Voice Recognition | Sound Quality | Alexa Skills and Features,fast response | clear answers | fantastic sound quality | learning Alexa,Fast voice recognition with excellent sound quality; user still learning full capabilities.
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,55,positive,,enthusiastic praise | all-in-one solution,User expresses strong satisfaction with the device.
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,56,positive,Alexa Skills and Features,meets expectations | exceeds features | performs well,Device performs as expected and offers additional unexpected features.
5,30-Jul-18,Sandstone Fabric ,"I love my Echo! Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,57,positive,Alexa Skills and Features,loves Echo | works as advertised | performs well,Echo works as promised; user satisfied despite not using smart home features.
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,58,positive,Sound Quality | Design and Appearance | Setup and Configuration,great sound | compact size | easy setup | fun to own,"Compact device with excellent sound, easy setup, and enjoyable to use."
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,59,positive,Sound Quality,works well | sounds great | reliable performance,Device works reliably with excellent sound quality.
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,60,positive,Sound Quality | Alexa Skills and Features,amazing sound | music collections | wide variety,Excellent sound quality with diverse music collection options.
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,61,negative,Voice Recognition,doesn't listen | voice recognition issues,Device fails to recognize and respond to voice commands consistently.
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,62,positive,Smart Home Integration | Sound Quality | Alexa Skills and Features,controls Fios television | great sound | Alexa skills | household appliances | multi-room music,"Versatile device controls TV and appliances, plays music, games, and offers many expandable skills."
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,63,positive,Sound Quality | Device Reliability,excellent sound | works perfectly | speaker quality,Speaker delivers excellent sound quality and operates perfectly.
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,64,positive,Alexa Skills and Features,does everything | versatile | capable,Device performs all desired functions reliably.
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,65,positive,Setup and Configuration | Gift Purchase,easy to figure out | not tech savvy | happy with purchase,Beginner-friendly setup despite initial hesitation; customer satisfied with purchase.
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1,66,positive,Alexa Skills and Features,like it | still learning | learning curve,User enjoys device and continues discovering its capabilities.
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1,67,positive,Sound Quality,great technology | speaker volume | sound quality | wishes for more,Outstanding speaker volume and sound quality exceeded expectations.
5,30-Jul-18,Heather Gray Fabric ,"I purchased an echo dot for my husband for Fathers Day. He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer. Best gift ever!",1,68,positive,Sound Quality | Gift Purchase,father's day gift | constant use | sound quality | echo 2nd generation,Excellent gift choice delivering impressive sound quality with frequent use.
5,30-Jul-18,Charcoal Fabric ,"Fun to use, good sound quality",1,69,positive,Sound Quality | Alexa Skills and Features,fun to use | good sound quality | enjoyable,Device is enjoyable with good sound quality.
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1,70,positive,Device Reliability | Smart Home Integration,syncs with other devices | works well | Amazon music integration,Echo syncs reliably with other Amazon music devices.
5,30-Jul-18,Charcoal Fabric ,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.",1,71,negative,Price and Deals,shouldn't charge for music | Prime member | Echo owner,Echo works but Amazon shouldn't charge extra for music with Prime membership.
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1,72,positive,Sound Quality | Alexa Skills and Features | Device Reliability,fuller sound than Dot | phone call feature | setup improvement,Echo improves on Dot with fuller sound and convenient phone calling feature.
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1,73,positive,Sound Quality,good sound quality | speaker performance,The speaker delivers good sound quality.
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1,74,positive,Sound Quality | Device Reliability,good sound | works well,Echo provides good sound and works reliably.
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1,75,positive,Warranty and Support,helpful support | patient assistance | love Alexa,Excellent product with very helpful and patient customer support.
5,30-Jul-18,Charcoal Fabric ,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.",1,76,mixed,Price and Deals | Sound Quality | Alexa Skills and Features | Wi-Fi Connectivity,Prime Day discount | versatile features | data usage concern | Bluetooth connectivity,"Echo offers great features and music functionality, but consumes significant Wi-Fi data."
5,30-Jul-18,Charcoal Fabric ,"We like it all so far, but have a lot to try out yet.",1,77,positive,,like it so far | still exploring features,Initial satisfaction with Echo; still discovering its capabilities.
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1,78,positive,Sound Quality,great for music | love it,Excellent Echo for playing music.
5,30-Jul-18,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,79,positive,Design and Appearance | Sound Quality | Smart Home Integration | Alexa Skills and Features,size and material | speaker quality | smart home control | diverse features,Excellent design and sound with extensive smart home and information features.
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,80,positive,Alexa Skills and Features,family loves Alexa | part of family | integrated device,The family has embraced Alexa Echo as a valued household member.
5,30-Jul-18,Walnut Finish ,"Great fun getting to know all the functions of this product. WOW -- family fun and homework help. Talking with other grandchildren,who also have an Echo, is a HUGE bonus. Can't wait to learn more and more and more",1,81,positive,Alexa Skills and Features,fun learning functions | family entertainment | grandchildren connection | homework help,"Echo provides engaging family fun, educational support, and enables connection with relatives."
5,30-Jul-18,Heather Gray Fabric ,"awesome thing, love Alexa",1,82,positive,,awesome | love Alexa,Reviewer loves this awesome Alexa device.
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,83,positive,Sound Quality | Alexa Skills and Features,works as expected | great sound | classroom use,"The Echo performs as expected with great sound quality, perfect for classroom use."
5,30-Jul-18,Charcoal Fabric ,"LOVE, LOVE this new little gadget. Has made our lives so much easier. it's like having our own personal secretary living here in the home. We hardly need our CD's anymore, since ALEXA plays everything we need. Going to get the Alexa DOTS soon for more rooms. Thanks!!",1,84,positive,Alexa Skills and Features | Sound Quality,easier life | personal secretary | music playback | planning more purchases,"Echo simplifies daily life with music playback and smart features, inspiring additional purchases."
4,30-Jul-18,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1,85,positive,Sound Quality,surprising quality | happy with purchase,The speaker delivers surprisingly good sound quality and satisfies the buyer.
5,30-Jul-18,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1,86,positive,Setup and Configuration,easy setup | works wonderful | love it,Echo is easy to set up and works wonderfully.
5,30-Jul-18,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device. The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1,87,positive,Sound Quality,impressed with sound quality | bass performance | music playback,The device impresses with excellent sound quality and robust bass for its size.
4,30-Jul-18,Charcoal Fabric ,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",1,88,mixed,Sound Quality | Device Reliability,sound quality worse | generation comparison | Bluetooth connectivity bonus | still great product,"Sound quality has declined compared to gen 1, but Bluetooth capability and overall performance remain strong."
4,30-Jul-18,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1,89,negative,Device Reliability,outlet compatibility issue | disappointed,The outlet incompatibility feature caused disappointment.
4,30-Jul-18,Charcoal Fabric ,"Great device, responsive and helpful",1,90,positive,Device Reliability | Alexa Skills and Features,responsive | helpful | great device,Device is responsive and helpful overall.
2,30-Jul-18,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0,91,negative,Sound Quality,terrible sound | poor music quality,Sound quality is terrible for music listening.
4,30-Jul-18,Charcoal Fabric ,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1,92,mixed,Sound Quality | Alexa Skills and Features,liked the sound | music access paid extra | doesn't understand requests | songs unavailable,Good sound but premium music service frequently fails to recognize songs.
5,30-Jul-18,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1,93,mixed,Setup and Configuration | Battery and Power,easy to set up | requires plugging in | no battery option,Easy setup but lacks portability due to constant power requirement.
5,30-Jul-18,Charcoal Fabric ,Still learning all the ways to use it. It is a real hit with my grandkids who ask it to play music and then dance to it. (5 and 7 yrs). Very cute.,1,94,positive,Alexa Skills and Features,learning to use | music playback | family friendly | grandkids enjoy,Great for playing music; children enjoy it.
4,30-Jul-18,Oak Finish ,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.",1,95,mixed,Device Reliability | Wi-Fi Connectivity | Alexa Skills and Features,connection dies | red ring indicator | plays music | sets timers | makes calls,Mostly excellent but occasional connectivity issues interrupt music playback.
5,30-Jul-18,Charcoal Fabric ,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!",1,96,positive,Device Reliability,upgraded from echo dot | works great | couldn't be happier,Works great; happy upgrade from Echo Dot.
5,30-Jul-18,Charcoal Fabric ,It's Alexa.... what else can you say,1,97,positive,,it's Alexa | what else can you say,Straightforward satisfaction with the Alexa product.
5,30-Jul-18,Charcoal Fabric ,Upgraded from my lilttle echo dot. Happy with sound,1,98,positive,Sound Quality,upgraded from echo dot | happy with sound,Happy with sound quality after upgrading from Echo Dot.
4,30-Jul-18,Sandstone Fabric ,"Excellent product, set up with ease as well.",1,99,positive,Setup and Configuration,excellent product | easy setup,Excellent product with easy setup process.
5,30-Jul-18,Heather Gray Fabric ,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1,100,positive,Sound Quality | Device Reliability,first gen Echo reliable | 2nd gen improved speaker | enhanced sound for music,"Long-time user satisfied with original Echo, pleased with improved sound in 2nd generation."
5,30-Jul-18,Charcoal Fabric ,I love my Echo smart speaker. I love the volume and clarity. It was easy to set up. ITs a wonderful gift for any age.,1,101,positive,Sound Quality | Setup and Configuration | Gift Purchase,volume and clarity | easy to set up | wonderful gift,"User loves Echo's volume, clarity, and ease of setup; recommends as gift."
5,30-Jul-18,Charcoal Fabric ,wonderful product and fast delivery!,1,102,positive,Price and Deals,wonderful product | fast delivery,Customer satisfied with product quality and delivery speed.
4,30-Jul-18,Charcoal Fabric ,Initially harder to set up called tech wasn’t that knowledgeable now working great.,1,103,mixed,Setup and Configuration | Warranty and Support,harder to set up initially | tech support not knowledgeable | working great now,"Setup was difficult with unhelpful tech support, but device works well after resolution."
5,30-Jul-18,Heather Gray Fabric ,It was very easy to set up and my family love it’s!,1,104,positive,Setup and Configuration,very easy to set up | family loves it,Simple setup process and family enjoys using the Echo.
5,30-Jul-18,Charcoal Fabric ,Has great sound and is very responsive my voice and commands.,1,105,positive,Sound Quality | Voice Recognition,great sound | very responsive | voice commands,Device has excellent sound quality and responsive voice command recognition.
5,30-Jul-18,Sandstone Fabric ,How did I live this long without the Echo . You get to enjoy any music style just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,1,106,positive,Alexa Skills and Features | Sound Quality,enjoy any music style | asking Alexa | upgrading to wireless,User loves Echo's music capabilities and plans to upgrade to wireless model.
5,30-Jul-18,Heather Gray Fabric ,Very cool product. Speaker sounds good with my Spotify blasting through it.,1,107,positive,Sound Quality | Video and Streaming,very cool product | speaker sounds good | Spotify,Product performs well with good speaker quality for music streaming.
